grid_id,year_month,failures_this_month,failures_last_1,failures_last_3,failures_last_6,failures_last_12,any_failure_last_3,any_failure_last_6,failure_next_month
7.0,2025-02,1,0.0,0.0,0.0,0.0,0,0,0
91.0,2025-07,1,0.0,0.0,0.0,0.0,0,0,0
94.0,2025-11,1,0.0,0.0,0.0,0.0,0,0,0
183.0,2025-07,1,0.0,0.0,0.0,0.0,0,0,0
264.0,2025-06,1,0.0,0.0,0.0,0.0,0,0,1
264.0,2025-07,1,1.0,0.0,0.0,0.0,0,0,1
264.0,2025-08,1,1.0,3.0,0.0,0.0,1,0,0
269.0,2025-08,1,0.0,0.0,0.0,0.0,0,0,0
270.0,2025-08,1,0.0,0.0,0.0,0.0,0,0,1
270.0,2025-12,1,1.0,0.0,0.0,0.0,0,0,0
355.0,2025-06,2,0.0,0.0,0.0,0.0,0,0,1
355.0,2025-07,1,2.0,0.0,0.0,0.0,0,0,0
356.0,2025-07,1,0.0,0.0,0.0,0.0,0,0,0
357.0,2025-03,1,0.0,0.0,0.0,0.0,0,0,0
441.0,2025-02,1,0.0,0.0,0.0,0.0,0,0,1
441.0,2025-04,1,1.0,0.0,0.0,0.0,0,0,0
443.0,2025-02,2,0.0,0.0,0.0,0.0,0,0,1
443.0,2025-07,1,2.0,0.0,0.0,0.0,0,0,0
448.0,2025-03,1,0.0,0.0,0.0,0.0,0,0,1
448.0,2025-04,1,1.0,0.0,0.0,0.0,0,0,1
448.0,2025-07,1,1.0,3.0,0.0,0.0,1,0,1
448.0,2025-08,1,1.0,3.0,0.0,0.0,1,0,0
533.0,2025-09,1,0.0,0.0,0.0,0.0,0,0,0
623.0,2025-03,1,0.0,0.0,0.0,0.0,0,0,1
623.0,2025-08,1,1.0,0.0,0.0,0.0,0,0,0
624.0,2025-03,1,0.0,0.0,0.0,0.0,0,0,1
624.0,2026-01,1,1.0,0.0,0.0,0.0,0,0,0
635.0,2025-09,1,0.0,0.0,0.0,0.0,0,0,0
722.0,2025-02,1,0.0,0.0,0.0,0.0,0,0,0
810.0,2025-10,1,0.0,0.0,0.0,0.0,0,0,0
