grid_id,provider,captured_date,image_path
3386,mapillary,2025-06-20 18:06:26+00:00,evidence/grid_3386/mapillary_1250042746751171.jpg
5414,mapillary,2019-08-25 15:07:40+00:00,evidence/grid_5414/mapillary_228990372326207.jpg
4955,mapillary,2025-06-20 20:23:15+00:00,evidence/grid_4955/mapillary_1423050825487400.jpg
3629,mapillary,2014-09-08 14:42:20+00:00,evidence/grid_3629/mapillary_290585219237504.jpg
3483,google,2011-10,streetview_best/grid_3483/P22_rank1_h90_road0.995.jpg
2778,mapillary,2025-08-03 15:51:48+00:00,evidence/grid_2778/mapillary_1089527035961494.jpg
8774,mapillary,2025-05-15 17:34:08.333000+00:00,evidence/grid_8774/mapillary_675931742082097.jpg
1993,mapillary,2025-05-12 17:59:47+00:00,evidence/grid_1993/mapillary_1463169555048931.jpg
3131,mapillary,2019-12-19 17:47:50.188000+00:00,evidence/grid_3131/mapillary_296652222069680.jpg
4972,mapillary,2025-06-27 16:49:15.500000+00:00,evidence/grid_4972/mapillary_662102916877543.jpg
5663,mapillary,2018-07-30 12:12:39+00:00,evidence/grid_5663/mapillary_282848013503265.jpg
3393,mapillary,2025-08-02 16:16:28+00:00,evidence/grid_3393/mapillary_1281348583642206.jpg
3742,mapillary,2025-06-09 17:52:31.500000+00:00,evidence/grid_3742/mapillary_688313630635830.jpg
4887,google,2024-04,streetview_best/grid_4887/P0_rank1_h90_road0.229.jpg
5146,mapillary,2025-06-20 19:15:31.666000+00:00,evidence/grid_5146/mapillary_1059974802316071.jpg
4978,mapillary,2025-06-26 20:17:03.333000+00:00,evidence/grid_4978/mapillary_1825802738352841.jpg
1350,mapillary,2025-04-24 18:51:33+00:00,evidence/grid_1350/mapillary_1359157972000118.jpg
4594,mapillary,2021-07-07 12:49:13.500000+00:00,evidence/grid_4594/mapillary_126192763020107.jpg
3213,mapillary,2019-12-19 17:23:35.271000+00:00,evidence/grid_3213/mapillary_329313525484053.jpg
1898,mapillary,2019-12-19 17:11:57.174000+00:00,evidence/grid_1898/mapillary_132408452170236.jpg
3212,mapillary,2025-06-27 16:13:14.500000+00:00,evidence/grid_3212/mapillary_1182140910264134.jpg
5249,google,2024-06,streetview_best/grid_5249/P51_rank1_h0_road0.893.jpg
2858,mapillary,2025-06-27 17:10:39+00:00,evidence/grid_2858/mapillary_24455764217341831.jpg
6132,mapillary,2019-12-20 15:01:23.175000+00:00,evidence/grid_6132/mapillary_150815230341896.jpg
2261,google,2014-06,streetview_best/grid_2261/P15_rank1_h135_road0.722.jpg
